Info 0    [23:48:0.331] Starting TS Server
Info 1    [23:48:0.332] Version: 3.7.2
Info 2    [23:48:0.332] Arguments: /usr/local/Cellar/node/12.4.0/bin/node /Users/liamfitzgerald/.nvm/versions/node/v11.15.0/bin/tsserver --logFile /Users/liamfitzgerald/dev/urbit/bitcoin-ticker/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/7w/hvrpvq7978bbb9kwkbhsn6rr0000gn/T/1a13ea3348263c4683876f10f1f2d364/tscancellation*
Info 3    [23:48:0.332] Platform: darwin NodeVersion: 12 CaseSensitive: false
Info 4    [23:48:0.344] Search path: /Users/liamfitzgerald/dev/urbit/bitcoin-ticker/tile
Info 5    [23:48:0.345] For info: /Users/liamfitzgerald/dev/urbit/bitcoin-ticker/tile/tile.js :: No config files found.
Info 6    [23:48:0.350] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [23:48:1.621] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1271ms
Info 8    [23:48:1.621] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [23:48:1.621] 	Files (84)

Info 10   [23:48:1.621] -----------------------------------------------
Info 11   [23:48:1.820] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [23:48:1.877] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true Elapsed: 57ms
Info 13   [23:48:1.877] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 14   [23:48:2.57] Structure before ensureProjectForOpenFiles:
Info 15   [23:48:2.58] Structure after ensureProjectForOpenFiles:
Info 16   [23:48:2.58] got projects updated in background, updating diagnostics for /Users/liamfitzgerald/dev/urbit/bitcoin-ticker/tile/tile.js
Info 17   [23:48:5.873] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [23:48:5.886] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 13ms
Info 19   [23:48:5.886] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 20   [23:48:6.314] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [23:48:6.319] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 5ms
Info 22   [23:48:6.319] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 23   [23:48:7.773] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [23:48:7.780] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 7ms
Info 25   [23:48:7.780] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 26   [23:48:8.76] getCompletionData: Get current token: 0
Info 27   [23:48:8.76] getCompletionData: Is inside comment: 0
Info 28   [23:48:8.76] getCompletionData: Get previous token 1: 0
Info 29   [23:48:8.77] getCompletionsAtPosition: isCompletionListBlocker: 1
Info 30   [23:48:8.94] getCompletionData: Semantic work: 17
Info 31   [23:48:8.95] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0
Info 32   [23:48:12.409] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [23:48:12.417] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 8ms
Info 34   [23:48:12.417] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 35   [23:48:12.626] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [23:48:12.631] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 4ms
Info 37   [23:48:12.631] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 38   [23:48:12.853] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [23:48:12.858] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 5ms
Info 40   [23:48:12.858] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 41   [23:48:12.862] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [23:48:12.870] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 8ms
Info 43   [23:48:12.870] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 44   [23:48:13.297] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [23:48:13.301] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 4ms
Info 46   [23:48:13.301] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 47   [23:48:14.153] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 48   [23:48:14.157] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 4ms
Info 49   [23:48:14.157] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 50   [23:48:15.486] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [23:48:15.491] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 5ms
Info 52   [23:48:15.491] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 53   [23:48:16.43] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 54   [23:48:16.49] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 5ms
Info 55   [23:48:16.49] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 56   [23:48:16.606] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [23:48:16.618] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 12ms
Info 58   [23:48:16.618] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 59   [23:48:17.194] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 60   [23:48:17.197] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 3ms
Info 61   [23:48:17.197] Different program with same set of files:: oldProgram.structureIsReused:: 2
